"genotype","GS39","GS55","GS65","FLS","SH","OEW","SM","r3"
"MEL 172-1",124,131.5,139.5,166.5,52.25,28.4,1,35
"MEL 173-2",123.5,135,143,155,62.75,43.8,2.5,20
"MEL 174-1",126.5,132.5,140,152,69.25,38.4,3,19.5
"MEL 175-1",131,143.5,151,175,29.75,19.15,2,31.5
"MEL 176-1",123,131.5,136,162,48.25,35,1.5,30.5
"MEL 177a-1",119.5,127.5,134.5,171,44,36.95,1,43.5
"MEL 178-1a",128.5,140.5,156,168.5,41,37.35,0,28
"MEL 179-2",132,141.5,151.5,166.5,49,27.85,2,25
"MEL 180-1",124,136,156,177.5,48.75,27.05,2,41.5
"MEL 181-1",124,134,158,166,70.25,49.7,1.5,32
"MEL 182-1a",128.5,138.5,148.5,155,55,28.35,2,16.5
"MEL 183-1",131,143,155,183.5,47,37.2,1,40.5
"MEL 184-1a",124,135,146.5,167.5,50.5,38.8,0,32.5
"MEL 185-1",131,145.5,152,174.5,60.5,38.9,0.5,29
"MEL 186-1b",130,139.5,148.5,178.5,50.75,39.15,0,39
"MEL 187-1b",128.5,137.5,156.5,180,42.5,35.35,0.5,42.5
"MEL 188-2",132,139.5,151,183.5,42.25,34.5,0.5,44
"MEL 189-1",125,133.5,146,173,42.5,34.7,1,39.5
"MEL 190-2",133,145,150,188,47,24.05,0.5,43
"MEL 191-1",137,146,156,195,54.75,39.05,0,49
"MEL 192-1",109,117,127.5,159,51.5,38.75,1,42
"MEL 193-1",127,137.5,145,170.5,56.25,36.75,1.5,33
"MEL 194a-1",128.5,140,147.5,162.5,71.75,45.5,1.5,22.5
"MEL 195-1a",135.5,148,156,186.5,75.5,50.6,0.5,38.5
"MEL 196-1A",131,142,153,182,53.25,39.75,0,40
"MEL 197-2",120,130.5,138,158,47.75,46.75,0.5,27.5
"MEL 198-1",121.5,126.5,133.5,151.5,55.75,34.85,3,25
"MEL 199-1",126,136,151,170.5,58,47.4,1.5,34.5
"MEL 200-1b",131,141,148.5,178.5,69.75,37.45,2,37.5
"MEL 201-1",134.5,147,156,188.5,68.5,49.4,0,41.5
"MEL 202-2",131,142,149.5,178.5,62.25,31,2.5,36.5
"MEL 203-1",126,136.5,144,157,49.75,30.7,2.5,20.5
"MEL 204-1",131,142,153,170,52,39.35,2,28
"MEL 205-1a",121.5,128,135.5,162,45.25,50.45,1,34
"MEL 206a-1a",124,133,146.5,173,58.25,46.4,2.5,40
"MEL 207-1",125,134,143,162.5,71.5,41.9,2,28.5
"MEL 208-1",131,141,150.5,187.5,48.75,31.15,1,46.5
"MEL 209-1",116.5,121,140.5,155,44.75,36.5,0.5,34
"MEL 210-1a",116,119.5,129,163,43.75,39.55,1.5,43.5
